order_id,order_status,order_purchase_timestamp,order_delivered_customer_date,payment_type,payment_installments,payment_value,review_score,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state,product_category_name_english
e481f51cbdc54678b7cc49136f2d6af7,delivered,2017-10-02 10:56:33,2017-10-10 21:25:13,credit_card,1.0,18.12,4,7c396fd4830fd04220f754e42b4e5bff,3149,sao paulo,SP,housewares
e481f51cbdc54678b7cc49136f2d6af7,delivered,2017-10-02 10:56:33,2017-10-10 21:25:13,voucher,1.0,2.0,4,7c396fd4830fd04220f754e42b4e5bff,3149,sao paulo,SP,housewares
e481f51cbdc54678b7cc49136f2d6af7,delivered,2017-10-02 10:56:33,2017-10-10 21:25:13,voucher,1.0,18.59,4,7c396fd4830fd04220f754e42b4e5bff,3149,sao paulo,SP,housewares
53cdb2fc8bc7dce0b6741e2150273451,delivered,2018-07-24 20:41:37,2018-08-07 15:27:45,boleto,1.0,141.46,4,af07308b275d755c9edb36a90c618231,47813,barreiras,BA,perfumery
47770eb9100c2d0c44946d9cf07ec65d,delivered,2018-08-08 08:38:49,2018-08-17 18:06:29,credit_card,3.0,179.12,5,3a653a41f6f9fc3d2a113cf8398680e8,75265,vianopolis,GO,auto
949d5b44dbf5de918fe9c16f97b45f8a,delivered,2017-11-18 19:28:06,2017-12-02 00:28:42,credit_card,1.0,72.2,5,7c142cf63193a1473d2e66489a9ae977,59296,sao goncalo do amarante,RN,pet_shop
ad21c59c0840e6cb83a9ceb5573f8159,delivered,2018-02-13 21:18:39,2018-02-16 18:17:02,credit_card,1.0,28.62,5,72632f0f9dd73dfee390c9b22eb56dd6,9195,santo andre,SP,stationery
a4591c265e18cb1dcee52889e2d8acc3,delivered,2017-07-09 21:57:05,2017-07-26 10:57:55,credit_card,6.0,175.26,4,80bb27c7c16e8f973207a5086ab329e2,86320,congonhinhas,PR,auto
136cce7faa42fdb2cefd53fdc79a6098,invoiced,2017-04-11 12:22:08,,credit_card,1.0,65.95,2,36edbb3fb164b1f16485364b6fb04c73,98900,santa rosa,RS,
6514b8ad8028c9f2cc2374ded245783f,delivered,2017-05-16 13:10:30,2017-05-26 12:55:51,credit_card,3.0,75.16,5,932afa1e708222e5821dac9cd5db4cae,26525,nilopolis,RJ,auto
76c6e866289321a7c93b82b54852dc33,delivered,2017-01-23 18:29:09,2017-02-02 14:08:10,boleto,1.0,35.95,1,39382392765b6dc74812866ee5ee92a7,99655,faxinalzinho,RS,furniture_decor
e69bfb5eb88e0ed6a785585b27e16dbf,delivered,2017-07-29 11:55:02,2017-08-16 17:14:30,voucher,1.0,161.42,5,299905e3934e9e181bfb2e164dd4b4f8,18075,sorocaba,SP,office_furniture
e69bfb5eb88e0ed6a785585b27e16dbf,delivered,2017-07-29 11:55:02,2017-08-16 17:14:30,credit_card,1.0,8.34,5,299905e3934e9e181bfb2e164dd4b4f8,18075,sorocaba,SP,office_furniture
e6ce16cb79ec1d90b1da9085a6118aeb,delivered,2017-05-16 19:41:10,2017-05-29 11:18:31,credit_card,1.0,259.06,1,f2a85dec752b8517b5e58a06ff3cd937,20780,rio de janeiro,RJ,garden_tools
34513ce0c4fab462a55830c0989c7edb,delivered,2017-07-13 19:58:11,2017-07-19 14:04:48,credit_card,1.0,114.13,4,782987b81c92239d922aa49d6bd4200b,4278,sao paulo,SP,computers_accessories
82566a660a982b15fb86e904c8d32918,delivered,2018-06-07 10:06:19,2018-06-19 12:05:52,boleto,1.0,50.13,5,e97109680b052ee858d93a539597bba7,35400,ouro preto,MG,perfumery
5ff96c15d0b717ac6ad1f3d77225a350,delivered,2018-07-25 17:44:10,2018-07-30 15:52:25,credit_card,3.0,32.7,5,e2dfa3127fedbbca9707b36304996dab,4812,sao paulo,SP,bed_bath_table
432aaf21d85167c2c86ec9448c4e42cc,delivered,2018-03-01 14:14:28,2018-03-12 23:36:26,credit_card,1.0,54.36,4,04cf8185c71090d28baa4407b2e6d600,5271,sao paulo,SP,toys
dcb36b511fcac050b97cd5c05de84dc3,delivered,2018-06-07 19:03:12,2018-06-21 15:34:32,credit_card,10.0,146.45,5,ccafc1c3f270410521c3c6f3b249870f,74820,goiania,GO,perfumery
403b97836b0c04a622354cf531062e5f,delivered,2018-01-02 19:00:43,2018-01-20 01:38:59,credit_card,10.0,1376.45,4,6e26bbeaa107ec34112c64e1ee31c0f5,21381,rio de janeiro,RJ,construction_tools_construction
116f0b09343b49556bbad5f35bee0cdf,delivered,2017-12-26 23:41:31,2018-01-08 22:36:36,credit_card,4.0,43.09,5,6087cfc70fd833cf2db637a5e6e9d76b,88780,imbituba,SC,telephony
85ce859fd6dc634de8d2f1e290444043,delivered,2017-11-21 00:03:41,2017-11-27 18:28:00,credit_card,1.0,29.75,5,d0ff1a7468fcc46b8fc658ab35d2a12c,13186,hortolandia,SP,bed_bath_table
83018ec114eee8641c97e08f7b4e926f,delivered,2017-10-26 15:54:26,2017-11-08 22:22:00,voucher,1.0,62.15,4,634f09f6075fe9032e6c19609ffe995a,44024,feira de santana,BA,telephony
83018ec114eee8641c97e08f7b4e926f,delivered,2017-10-26 15:54:26,2017-11-08 22:22:00,voucher,1.0,24.86,4,634f09f6075fe9032e6c19609ffe995a,44024,feira de santana,BA,telephony
83018ec114eee8641c97e08f7b4e926f,delivered,2017-10-26 15:54:26,2017-11-08 22:22:00,credit_card,1.0,5.96,4,634f09f6075fe9032e6c19609ffe995a,44024,feira de santana,BA,telephony
203096f03d82e0dffbc41ebc2e2bcfb7,delivered,2017-09-18 14:31:30,2017-10-09 22:23:46,boleto,1.0,118.86,2,d699688533772c15a061e8ce81cb56df,4001,sao paulo,SP,health_beauty
